Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Net Capacity Under STC (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?
17609,Southern California Edison Co,57229,Solar Photovoltaic Project #15,CA,SAN BERNARDINO,S015C,OP,PV,Electric Utility,1,0.5,0.5,0.5,1,2013,,,,Y,,,,,,0.6,,Y,,,,
17609,Southern California Edison Co,57229,Solar Photovoltaic Project #15,CA,SAN BERNARDINO,S015D,OP,PV,Electric Utility,1,0.5,0.5,0.5,1,2013,,,,Y,,,,,,0.6,,Y,,,,
17609,Southern California Edison Co,57229,Solar Photovoltaic Project #15,CA,SAN BERNARDINO,S015E,OP,PV,Electric Utility,1,0.5,0.5,0.5,1,2013,,,,Y,,,,,,0.6,Y,,,,,
17609,Southern California Edison Co,57229,Solar Photovoltaic Project #15,CA,SAN BERNARDINO,S015F,OP,PV,Electric Utility,1,0.5,0.5,0.5,1,2013,,,,Y,,,,,,0.6,Y,,,,,
17609,Southern California Edison Co,57229,Solar Photovoltaic Project #15,CA,SAN BERNARDINO,S015G,OP,PV,Electric Utility,1,0.5,0.5,0.5,1,2013,,,,Y,,,,,,0.6,Y,,,,,
17609,Southern California Edison Co,57232,Solar Photovoltaic Project #18,CA,SAN BERNARDINO,S018A,OP,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,0.7,Y,,,,,
17609,Southern California Edison Co,57232,Solar Photovoltaic Project #18,CA,SAN BERNARDINO,S018B,OP,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,0.7,Y,,,,,
17609,Southern California Edison Co,57232,Solar Photovoltaic Project #18,CA,SAN BERNARDINO,S018C,OP,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,0.7,Y,,,,,
17609,Southern California Edison Co,57236,Solar Photovoltaic Project #23,CA,San Bernardino,S023A,OP,PV,Electric Utility,1,0.5,0.5,0.5,1,2013,,,,Y,,,,,,0.8,Y,,,,,
17609,Southern California Edison Co,57236,Solar Photovoltaic Project #23,CA,San Bernardino,S023B,OP,PV,Electric Utility,1,0.5,0.5,0.5,1,2013,,,,Y,,,,,,0.8,Y,,,,,
17609,Southern California Edison Co,57236,Solar Photovoltaic Project #23,CA,San Bernardino,S023C,OP,PV,Electric Utility,1,0.5,0.5,0.5,1,2013,,,,Y,,,,,,0.8,Y,,,,,
17609,Southern California Edison Co,57236,Solar Photovoltaic Project #23,CA,San Bernardino,S023D,OP,PV,Electric Utility,1,0.5,0.5,0.5,1,2013,,,,Y,,,,,,0.8,Y,,,,,
17609,Southern California Edison Co,57236,Solar Photovoltaic Project #23,CA,San Bernardino,S023E,OP,PV,Electric Utility,1,0.5,0.5,0.5,1,2013,,,,Y,,,,,,0.8,Y,,,,,
17609,Southern California Edison Co,57237,Solar Photovoltaic Project #22,CA,San Bernardino,S022A,OP,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,0.8,Y,,,,,
17609,Southern California Edison Co,57237,Solar Photovoltaic Project #22,CA,San Bernardino,S022B,OP,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,0.8,Y,,,,,
17609,Southern California Edison Co,57237,Solar Photovoltaic Project #22,CA,San Bernardino,S022C,OP,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,0.8,Y,,,,,
17609,Southern California Edison Co,57237,Solar Photovoltaic Project #22,CA,San Bernardino,S022D,OP,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,0.8,Y,,,,,
17609,Southern California Edison Co,57441,Solar Photovoltaic Project #42,CA,TULARE,S42A,OP,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,0.7,Y,,,,,
