Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Energy Source 1,Energy Source 2,Multiple Fuels?,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?
14328,Pacific Gas & Electric Co.,246,Humboldt Bay,CA,Humboldt,IC1,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,16.7,16.3,16.3,9,2010,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,16.3,16.3,16.3,16.3,1H,1H,Y,Y,Y,
14328,Pacific Gas & Electric Co.,246,Humboldt Bay,CA,Humboldt,IC10,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,16.7,16.3,16.3,9,2010,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,16.3,16.3,16.3,16.3,1H,1H,Y,Y,Y,
14328,Pacific Gas & Electric Co.,246,Humboldt Bay,CA,Humboldt,IC2,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,16.7,16.3,16.3,9,2010,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,16.3,16.3,16.3,16.3,1H,1H,Y,Y,Y,
14328,Pacific Gas & Electric Co.,246,Humboldt Bay,CA,Humboldt,IC3,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,16.7,16.3,16.3,3,2011,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,16.3,16.3,16.3,16.3,1H,1H,Y,Y,Y,
14328,Pacific Gas & Electric Co.,246,Humboldt Bay,CA,Humboldt,IC4,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,16.7,16.3,16.3,9,2010,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,16.3,16.3,16.3,16.3,1H,1H,Y,Y,Y,
14328,Pacific Gas & Electric Co.,246,Humboldt Bay,CA,Humboldt,IC5,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,16.7,16.3,16.3,9,2010,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,16.3,16.3,16.3,16.3,1H,1H,Y,Y,Y,
14328,Pacific Gas & Electric Co.,246,Humboldt Bay,CA,Humboldt,IC6,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,16.7,16.3,16.3,9,2010,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,16.3,16.3,16.3,16.3,1H,1H,Y,Y,Y,
14328,Pacific Gas & Electric Co.,246,Humboldt Bay,CA,Humboldt,IC7,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,16.7,16.3,16.3,9,2010,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,16.3,16.3,16.3,16.3,1H,1H,Y,Y,Y,
14328,Pacific Gas & Electric Co.,246,Humboldt Bay,CA,Humboldt,IC8,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,16.7,16.3,16.3,9,2010,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,16.3,16.3,16.3,16.3,1H,1H,Y,Y,Y,
14328,Pacific Gas & Electric Co.,246,Humboldt Bay,CA,Humboldt,IC9,OP,Natural Gas Internal Combustion Engine,IC,Electric Utility,1,16.7,16.7,16.7,9,2010,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,16.3,16.3,16.3,16.3,1H,1H,Y,Y,Y,
54888,NRG Texas Power LLC,298,Limestone,TX,Limestone,1,OP,Conventional Steam Coal,ST,IPP Non-CHP,2,893.0,831,831,12,1985,SUB,NG,Y,Y,LIG,SUB,NG,PC,,,N,, , , , ,,,,,,
