Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Energy Source 1,Energy Source 2,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?
803,Arizona Public Service Co,120,Yucca,AZ,Yuma,GT1,OP,GT,Electric Utility,1,23.6,18,22,NG,DFO,Y,NG,DFO,,,,,Y,N,18,19,18,19,UNK,,N,,,
803,Arizona Public Service Co,120,Yucca,AZ,Yuma,GT2,OP,GT,Electric Utility,1,23.6,18,22,NG,DFO,Y,NG,DFO,,,,,Y,N,18,19,18,19,UNK,,N,,,
803,Arizona Public Service Co,120,Yucca,AZ,Yuma,GT3,OP,GT,Electric Utility,1,72.4,52,62,NG,DFO,Y,NG,DFO,,,,,Y,N,52, ,52, ,UNK,,N,,,
803,Arizona Public Service Co,120,Yucca,AZ,Yuma,ST1,OP,ST,Electric Utility,1,86.7,75,75,NG,RFO,N,,,,,,,Y,N,75, ,75, ,UNK,UNK,Y,Y,,
807,Arkansas Electric Coop Corp,201,Thomas Fitzhugh,AR,Franklin,1,OP,CA,Electric Utility,1,59.0,61,62,NG,DFO,N,,,,,,,Y,Y,61,61,62, ,1H,1H,Y,Y,,
807,Arkansas Electric Coop Corp,201,Thomas Fitzhugh,AR,Franklin,2,OP,CT,Electric Utility,1,126.0,101,110,NG,DFO,Y,NG,DFO,,,,,Y,Y,101,101,110, ,1H,1H,Y,Y,,
807,Arkansas Electric Coop Corp,202,Carl Bailey,AR,Woodruff,1,OP,ST,Electric Utility,1,120.0,122,122,NG,RFO,Y,NG,RFO,,,,,Y,Y,122,122,110,110,1H,1H,Y,Y,,
807,Arkansas Electric Coop Corp,203,McClellan (AR),AR,Ouachita,1,OP,ST,Electric Utility,1,136.0,134,134,NG,RFO,Y,NG,RFO,,,,,Y,Y,134,134,134,134,1H,1H,Y,Y,,
867,ARCO Products Co-Watson,50216,Watson Cogeneration,CA,Los Angeles,GN91,OP,CT,Industrial CHP,7,82.0,82,82,NG,OG,Y,NG,OG,WO,,,,Y,Y,82, ,82, ,1H,1H,Y,Y,Y,
867,ARCO Products Co-Watson,50216,Watson Cogeneration,CA,Los Angeles,GN92,OP,CT,Industrial CHP,7,82.0,82,82,NG,OG,Y,NG,OG,WO,,,,Y,Y,82, ,82, ,1H,1H,Y,Y,Y,
867,ARCO Products Co-Watson,50216,Watson Cogeneration,CA,Los Angeles,GN93,OP,CT,Industrial CHP,7,82.0,82,82,NG,OG,Y,NG,OG,WO,,,,Y,Y,82, ,82, ,1H,1H,Y,Y,Y,
867,ARCO Products Co-Watson,50216,Watson Cogeneration,CA,Los Angeles,GN94,OP,CT,Industrial CHP,7,82.0,82,82,NG,OG,Y,NG,OG,WO,,,,Y,Y,82, ,82, ,1H,1H,Y,Y,Y,
911,City of Ashland - (KS),1259,Ashland,KS,Clark,1,SB,IC,Electric Utility,1,0.6,0.6,0.6,NG,DFO,Y,NG,DFO,,,,,Y,N,1.4,1.4,4.9,4.9,1H,1H,N,,,
911,City of Ashland - (KS),1259,Ashland,KS,Clark,2,SB,IC,Electric Utility,1,0.9,0.7,0.8,NG,DFO,Y,NG,DFO,,,,,Y,N,1.4,1.4,4.9,4.9,1H,1H,N,,,
924,"Associated Electric Coop, Inc",7848,Holden,MO,Johnson,11,OP,GT,Electric Utility,1,107.1,70,84,NG,DFO,N,,,,,,,Y,N,70,118,70,118,1H,1H,Y,,Y,
924,"Associated Electric Coop, Inc",7848,Holden,MO,Johnson,12,OP,GT,Electric Utility,1,107.1,70,84,NG,DFO,N,,,,,,,Y,N,70,118,70,118,1H,1H,Y,,Y,
924,"Associated Electric Coop, Inc",7848,Holden,MO,Johnson,13,OP,GT,Electric Utility,1,107.1,70,84,NG,DFO,N,,,,,,,Y,N,70,118,70,118,1H,1H,Y,,Y,
924,"Associated Electric Coop, Inc",55340,Dell Power Station,AR,Mississippi,CTG1,OP,CT,Electric Utility,1,199.3,150,171,NG,DFO,N,NG,DFO,,,,,Y,N,150, ,150, ,6H,6H,N,,,
924,"Associated Electric Coop, Inc",55340,Dell Power Station,AR,Mississippi,CTG2,OP,CT,Electric Utility,1,199.3,151,173,NG,DFO,N,NG,DFO,,,,,Y,N,151, ,150, ,6H,6H,N,,,
965,Atlantic Municipal Utilities,1124,Atlantic,IA,Cass,1,OP,IC,Electric Utility,1,5.3,4,4,DFO,NG,N,,,,,,,Y,Y,4,4,4,4,1H,1H,Y,Y,Y,
965,Atlantic Municipal Utilities,1124,Atlantic,IA,Cass,6,OP,GT,Electric Utility,1,10.0,9.8,10,NG,DFO,N,,,,,,,Y,Y,9.8,10,9.8,10,1H,1H,Y,Y,Y,
993,Auburn Board of Public Works,2215,Auburn,NE,Nemaha,1,OP,IC,Electric Utility,1,2.4,2.2,2.4,NG,DFO,N,,,,,,,Y,Y,2.2, ,2.2, ,1H,1H,Y,Y,Y,
