Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,"Turbines, Inverters, or Hydrokinetic Buoys",Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Planned Net Summer Capacity Uprate (MW),Planned Net Winter Capacity Uprate (MW),Planned Uprate Month,Planned Uprate Year,Planned Net Summer Capacity Derate (MW),Planned Net Winter Capacity Derate (MW),Planned Derate Month,Planned Derate Year,Planned New Prime Mover,Planned Energy Source 1,Planned New Nameplate Capacity (MW),Planned Repower Month,Planned Repower Year,Other Planned Modifications?,Other Modifications Month,Other Modifications Year,Cofire Fuels?,Switch Between Oil and Natural Gas?,Year,Technology,Turbines or Hydrokinetic Buoys,Multiple Fuels?
3249,Central Hudson Gas & Elec Corp,2486.0,Sturgeon,NY,Ulster,H3,HY,,S,N,N,,,4.8,0.8,4.8,4.8,4,N, , ,OP,,1,1924, , ,N,Electric Utility,1,,WAT,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
3249,Central Hudson Gas & Elec Corp,2487.0,West Coxsackie,NY,Greene,GT1,GT,,S,N,N,23611,23611,21.6,0.86,21.3,21.3,2,N, , ,OP,,12,1969, , ,N,Electric Utility,1,,KER,NG,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,Y,2013,,,
4180,Connecticut Mun Elec Engy Coop,57600.0,Fishers Island 1,NY,Suffolk,FI1,IC,,S,N,N,,,2.5,1,2.5,2.5,1.5,N, , ,OP,,12,2010, , ,N,Electric Utility,1,,DFO,,,,,,,,,,N,N, ,10M,,,,,,,,0.1,0.1,12,2014, , , , ,,, , , ,, , ,,,2013,,,
4226,Consolidated Edison Co-NY Inc,2493.0,East River,NY,New York,1,GT,,S,N,N,,,180.0,0.85,144.2,180.4,110,N, , ,OP,,4,2005, , ,N,Electric Utility,1,,NG,DFO,,,,,,,,,N,, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,Y,2013,,,
4226,Consolidated Edison Co-NY Inc,2493.0,East River,NY,New York,2,GT,,S,N,N,,,180.0,0.85,143.3,181.8,110,N, , ,OP,,4,2005, , ,N,Electric Utility,1,,NG,DFO,,,,,,,,,N,, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,Y,2013,,,
4226,Consolidated Edison Co-NY Inc,2493.0,East River,NY,New York,6,ST,,S,N,N,,,156.2,0.8,137.7,137.9,45,N, , ,OP,,11,1951, , ,Y,Electric Utility,1,T,RFO,NG,,,,,NG,,,,N,, ,OVER,,,,,,,, , , , , , , , ,,, , , ,, , ,N,Y,2013,,,
4226,Consolidated Edison Co-NY Inc,2493.0,East River,NY,New York,7,ST,,S,N,N,,,200.0,0.8,184.1,185,65,N, , ,OP,,6,1955, , ,N,Electric Utility,1,,RFO,NG,,,,,NG,,,,N,, ,OVER,,,,,,,, , , , , , , , ,,, , , ,, , ,N,Y,2013,,,
4226,Consolidated Edison Co-NY Inc,2496.0,Hudson Avenue,NY,Kings,4,GT,,S,N,N,,,16.3,0.85,14.6,17.5,11,N, , ,OP,,7,1970, , ,N,Electric Utility,1,,KER,,,,,,,,,,N,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
4226,Consolidated Edison Co-NY Inc,2496.0,Hudson Avenue,NY,Kings,GT3,GT,,S,N,N,,,16.3,0.85,14.3,18.7,11,N, , ,OP,,7,1970, , ,N,Electric Utility,1,,KER,,,,,,,,,,N,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
4226,Consolidated Edison Co-NY Inc,2496.0,Hudson Avenue,NY,Kings,GT5,GT,,S,N,N,,,16.3,0.85,15.7,18.6,11,N, , ,OP,,7,1970, , ,N,Electric Utility,1,,KER,,,,,,,,,,,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
