Utility ID,Utility Name,Plant Code,Plant Name,State,Boiler ID,Boiler Status,Type of Boiler,New Source Review,New Source Review Permit,New Source Review Month,New Source Review Year,Regulation Sulfur,Standard Sulfur Rate,Standard Sulfur Percent Scrubbed,Unit Sulfur,Period Sulfur,Compliance Year Sulfur,Sulfur Dioxide Control Existing Strategy 1,Sulfur Dioxide Control Existing Strategy 2,Sulfur Dioxide Control Existing Strategy 3,Sulfur Dioxide Control Proposed Strategy 1,Sulfur Dioxide Control Proposed Strategy 2,Sulfur Dioxide Control Proposed Strategy 3,Regulation Nitrogen,Standard Nitrogen Rate,Unit Nitrogen,Period Nitrogen,Compliance Year Nitrogen,Nitrogen Oxide Control Existing Strategy 1,Nitrogen Oxide Control Existing Strategy 2,Nitrogen Oxide Control Existing Strategy 3,Nitrogen Oxide Control Proposed Strategy 1,Nitrogen Oxide Control Proposed Strategy 2,Nitrogen Oxide Control Proposed Strategy 3,Regulation Particulate,Standard Particulate Rate,Unit Particulate,Period Particulate,Compliance Year Particulate,Regulation Mercury,Compliance Year Mercury,Mercury Control Existing Strategy 1,Mercury Control Existing Strategy 2,Mercury Control Existing Strategy 3,Mercury Control Proposed Strategy 1,Mercury Control Proposed Strategy 2,Mercury Control Proposed Strategy 3,Year,Steam Plant Type
9645,Jamestown Board of Public Util,2682.0,S A Carlson,NY,11,RE,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
9645,Jamestown Board of Public Util,2682.0,S A Carlson,NY,12,RE,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
9645,Jamestown Board of Public Util,2682.0,S A Carlson,NY,9,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
9645,Jamestown Board of Public Util,2682.0,S A Carlson,NY,HRSG,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
10023,TC Ravenswood LLC,2500.0,Ravenswood,NY,10,OP,N,N,, , ,ST, , ,SU,NV,1972,NC,WA,,NC,WA,,LO, ,NM,NV,1995,MS,NC,,MS,NC,,ST,0.1,PB,NV,1973,FD,2014,,,,,,,2013,
10023,TC Ravenswood LLC,2500.0,Ravenswood,NY,20,OP,N,N,, , ,ST, , ,SU,NV,1972,NC,WA,,NC,WA,,LO, ,NM,NV,1995,MS,NC,,MS,NC,,ST,0.1,PB,NV,1973,FD,2014,,,,,,,2013,
10023,TC Ravenswood LLC,2500.0,Ravenswood,NY,30,OP,N,N,, , ,ST, , ,SU,NV,1972,NC,WA,,NC,WA,,LO, ,NM,NV,1995,MS,NC,,MS,NC,,LO,0.1,PB,NV,1971,FD,2014,,,,,,,2013,
10023,TC Ravenswood LLC,2500.0,Ravenswood,NY,40,OP,N,N,, , ,, , ,OT,OT,2005,,,,,,,, ,OT,OT,2005,,,,,,,, ,OT,OT,2005,FD,2014,,,,,,,2013,
12792,NRG New York LLC,2625.0,Bowline Point,NY,1,OP,N,N,, , ,ST,0.0037, ,SU,NV,1972,SS,,,SS,,,ST,0.25,NP,NV,1995,AA,,,AA,,,ST,0.1,PB,NV,1972,, ,,,,,,,2013,
12792,NRG New York LLC,2625.0,Bowline Point,NY,2,OP,N,N,, , ,ST,0.0037, ,SU,NV,1974,SS,,,SS,,,ST,0.25,NP,NV,1995,AA,,,AA,,,ST,0.1,PB,NV,1974,, ,,,,,,,2013,
13168,NRG Huntley Operations Inc,2549.0,C R Huntley Generating Station,NY,63,RE,N,,, , ,ST, , ,SB,DA,1974,,,,,,,LO, ,,, ,,,,,,,ST,0.17,PB,NV,1973,, ,,,,,,,2013,
13168,NRG Huntley Operations Inc,2549.0,C R Huntley Generating Station,NY,64,RE,N,,, , ,ST, , ,SB,DA,1974,,,,,,,LO, ,,, ,,,,,,,ST,0.17,PB,NV,1973,, ,,,,,,,2013,
13168,NRG Huntley Operations Inc,2549.0,C R Huntley Generating Station,NY,65,RE,N,,, , ,ST, , ,SB,DA,1974,,,,,,,ST, ,NL,YR,1974,,,,,,,ST,0.17,PB,NV,1973,, ,,,,,,,2013,
13168,NRG Huntley Operations Inc,2549.0,C R Huntley Generating Station,NY,66,RE,N,N,, , ,ST, , ,DP,DA,1974,,,,,,,ST, ,NP,DA, ,,,,,,,ST,0.17,PB,PS,1973,ST, ,,,,,,,2013,
13168,NRG Huntley Operations Inc,2549.0,C R Huntley Generating Station,NY,67,OP,N,N,, , ,ST,3.4, ,DP,DA,1974,SS,,,SS,,,ST,0.12,NP,DA,1974,LN,AA,SN,LN,AA,SN,ST,0.17,PB,PS,1973,ST,2009,BP,,,BP,ACI,,2013,
13168,NRG Huntley Operations Inc,2549.0,C R Huntley Generating Station,NY,68,OP,N,N,, , ,ST,3.4, ,DP,DA,1974,SS,,,SS,,,ST,0.12,NP,DA,1974,LN,AA,SN,LN,AA,SN,ST,0.17,PB,PS,1973,ST,2009,BP,,,BP,ACI,,2013,
13192,NRG Arthur Kill Operations Inc,2490.0,Arthur Kill Generating Station,NY,20,OP,N,N,, , ,ST, , ,SU,NV,1972,NC,NC,NC,NC,NC,NC,LO,0.15,NM,NV,1995,NC,NC,NC,MS,MS,MS,ST,0.1,PB,NV,1971,, ,,,,,,,2013,
13192,NRG Arthur Kill Operations Inc,2490.0,Arthur Kill Generating Station,NY,30,OP,N,N,, , ,ST, , ,SU,NV,1972,NC,NC,NC,NC,NC,NC,ST,0.15,NM,NV,1995,NC,NC,NC,MS,MS,MS,ST,0.1,PB,NV,1971,, ,,,,,,,2013,
