Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Energy Source 1,Energy Source 2,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?,Year,Technology,Multiple Fuels?,Operating Month,Operating Year
64701,Oswego Harbor Power,2594,Oswego Harbor Power,NY,Oswego,ST6,OP,ST,IPP Non-CHP,2,901.8,790.5,814.5,RFO,NG,Y,RFO,NG,,,,,Y,Y,180,180,850,850,6H,UNK,Y,,Y,,2024,Petroleum Liquids,Y,12.0,1979.0
64082,"Bowline, LLC",2625,Bowline Point,NY,Rockland,1,OP,ST,IPP Non-CHP,2,621.0,586,593.2,NG,RFO,Y,NG,RFO,,,,,Y,Y,572,572,572,572,6H,6H,Y,Y,,,2024,Natural Gas Steam Turbine,Y,9.0,1972.0
64082,"Bowline, LLC",2625,Bowline Point,NY,Rockland,2,OP,ST,IPP Non-CHP,2,621.0,573.6,568.8,NG,RFO,Y,NG,RFO,,,,,Y,Y,562,567,562,567,6H,6H,Y,Y,,,2024,Natural Gas Steam Turbine,Y,5.0,1974.0
56142,"Alliance NYGT, LLC",2628,Hillburn,NY,Rockland,GEN1,OP,GT,IPP Non-CHP,2,46.5,33.1,43.8,NG,KER,N,,,,,,,Y,N,33.1,43,33.1,43,1H,1H,Y,,Y,,2024,Natural Gas Fired Combustion Turbine,Y,7.0,1972.0
56142,"Alliance NYGT, LLC",2632,Shoemaker,NY,Orange,SHOE,OP,GT,IPP Non-CHP,2,41.9,33,40,NG,KER,N,,,,,,,Y,N,33,40,33,40,1H,1H,Y,,Y,,2024,Natural Gas Fired Combustion Turbine,Y,7.0,1972.0
6775,Village of Freeport - (NY),2679,Plant No 2 Freeport,NY,Nassau,CT5,OP,GT,Electric Utility,1,60.5,49,49,NG,KER,N,,,,,,,Y,N,49,49,49,49,6H,1H,N,,,,2024,Natural Gas Fired Combustion Turbine,Y,4.0,2004.0
9645,Jamestown Board of Public Util,2682,S A Carlson,NY,Chautauqua,5,OP,ST,Electric Utility,1,24.5,22.5,22.5,NG,DFO,N,,,,,,,Y,N,22.5,22.5,7,7,1H,1H,N,,,,2024,Natural Gas Steam Turbine,Y,8.0,1951.0
9645,Jamestown Board of Public Util,2682,S A Carlson,NY,Chautauqua,6,OP,ST,Electric Utility,1,24.5,22.5,22.5,NG,DFO,N,,,,,,,Y,N,22.5,22.5,7,7,1H,1H,N,,,,2024,Natural Gas Steam Turbine,Y,8.0,1968.0
16217,Village of Rockville Centre - (NY),2695,Charles P Keller,NY,Nassau,10,OP,IC,Electric Utility,1,3.5,3.2,3.2,NG,DFO,N,,,,,,,Y,Y,2.9,2.9,3.2,3.2,1H,1H,Y,Y,Y,,2024,Natural Gas Internal Combustion Engine,Y,1.0,1954.0
16217,Village of Rockville Centre - (NY),2695,Charles P Keller,NY,Nassau,11,OP,IC,Electric Utility,1,5.2,5.2,5.2,NG,DFO,N,,,,,,,Y,Y,4.95,4.95,5.2,5.2,1H,1H,Y,Y,Y,,2024,Natural Gas Internal Combustion Engine,Y,1.0,1962.0
16217,Village of Rockville Centre - (NY),2695,Charles P Keller,NY,Nassau,12,OP,IC,Electric Utility,1,5.5,5.5,5.5,NG,DFO,N,,,,,,,Y,Y,5.2,5.2,5.5,5.5,1H,1H,Y,Y,Y,,2024,Natural Gas Internal Combustion Engine,Y,1.0,1967.0
16217,Village of Rockville Centre - (NY),2695,Charles P Keller,NY,Nassau,13,OP,IC,Electric Utility,1,5.5,5.5,5.5,NG,DFO,N,,,,,,,Y,Y,5.2,5.2,5.5,5.5,1H,1H,Y,Y,Y,,2024,Natural Gas Internal Combustion Engine,Y,1.0,1974.0
16217,Village of Rockville Centre - (NY),2695,Charles P Keller,NY,Nassau,14,OP,IC,Electric Utility,1,6.2,6.2,6.2,NG,DFO,N,,,,,,,Y,Y,6.2,6.2,6.2,6.2,1H,1H,Y,Y,Y,,2024,Natural Gas Internal Combustion Engine,Y,9.0,1994.0
16217,Village of Rockville Centre - (NY),2695,Charles P Keller,NY,Nassau,9,OP,IC,Electric Utility,1,3.5,3.2,3.2,NG,DFO,N,,,,,,,Y,Y,2.9,2.9,3.2,3.2,1H,1H,Y,Y,Y,,2024,Natural Gas Internal Combustion Engine,Y,1.0,1954.0
15296,New York Power Authority,7314,Richard M Flynn,NY,Suffolk,NA1,OP,CT,Electric Utility,1,110.0,139.5,160,NG,DFO,N,,,,,,,Y,N,135.5,160,135.5,160,1H,1H,Y,Y,Y,,2024,Natural Gas Fired Combined Cycle,Y,5.0,1994.0
56505,National Grid Generation LLC,7869,Glenwood Landing,NY,Nassau,GT4,OP,GT,Electric Utility,1,53.0,42.6,47,NG,KER,N,,,,,,,Y,Y,42.6,47,42.6,47,1H,1H,Y,,Y,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,2002.0
56505,National Grid Generation LLC,7869,Glenwood Landing,NY,Nassau,GT5,OP,GT,Electric Utility,1,53.0,42.5,47,NG,KER,N,,,,,,,Y,Y,42.5,47,42.5,47,1H,1H,Y,,Y,,2024,Natural Gas Fired Combustion Turbine,Y,6.0,2002.0
