Utility ID,Utility Name,Street Address,City,State,Zip,Owner?,Operator?,Asset Manager?,Other Reltionships with Plants Reported on Form?,Entity Type,Year,Other Relationships with Plants Reported on Form?,Owner of Plants Reported on Form?,Operator of Plants Reported on Form?,Asset Manager of Plants Reported on Form?
65662,KDC Solar CV Ascend One LLC,228 Park Ave S,New York,NY,10003,,,,,Q,2023,,Y,Y,Y
65663,KDC Solar CV Cedar Lane Park LLC,228 Park Ave,New York,NY,10003,,,,,Q,2023,,Y,Y,Y
65664,KDC Solar CV Central MD Regional Transit LLC,228 Park Ave S,New York,NY,10003,,,,,Q,2023,,Y,Y,Y
65665,KDC Solar CV Animal Control LLC,228 Park Ave S,New York,NY,10003,,,,,Q,2023,,Y,Y,Y
65666,KDC Solar CV O'Donnell Property LLC,228 Park Ave S,New York,NY,10003,,,,,Q,2023,,Y,Y,Y
65667,West Shore Solar LLC,228 Park Ave S,New York,NY,10003,,,,,Q,2023,,Y,Y,Y
65668,"ELP Kipp Solar, LLC","200 Liberty Street, 14th Floor",New York,NY,10281,,,,,Q,2023,,Y,Y,
65676,"Long Lake Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2023,,Y,,
65742,"Blue Bird Solar, LLC","575 Fifth Ave., 35th Floor",New York,NY,10017,,,,,Q,2023,,Y,,
65760,"Solar DG NJ Brookdale, LLC","200 Liberty Street, 14th Floor",New York,NY,10281,,,,,Q,2023,,Y,Y,
65770,NY USLE Copenhagen CR194 LLC,69 Valley Road,Katonah,NY,10536,,,,,Q,2023,,Y,Y,
65806,Elk Street Solar LLC,"228 Park Ave S, PMB 23351",New York,NY,10003,,,,,Q,2023,,Y,Y,Y
65807,"Energy 49, LLC","228 Park Ave S, PMB 23351",New York,NY,10003,,,,,Q,2023,,Y,Y,Y
65812,"Lumberton PV I, LLC","575 Fifth Avenue, 35th Floor",New York,NY,10017,,,,,Q,2023,,Y,,
65827,Fork in the Road Solar LLC,"228 Park Ave S, PMB 23351",New York,NY,10003,,,,,Q,2023,,Y,Y,Y
65922,"SunE W12DG-B, LLC",100 Park Avenue 24th Floor,New York,NY,10017,,,,,Q,2023,,Y,Y,Y
65923,"SunE WF3 KHL A Holdings, LLC",100 Park Avenue 24th Floor,New York,NY,10017,,,,,Q,2023,,Y,Y,Y
65924,"FRV SI Transport Solar, L.P. (Sacremento)",100 Park Avenue 24th Floor,New York,NY,10017,,,,,Q,2023,,Y,Y,Y
65925,Taygete Energy Project LLC,745 Fifth Ave.,New York,NY,10151,,,,,Q,2023,,Y,,
65934,"River Fork Solar, LLC","575 Fifth Ave., 35th Fl.,",New York,NY,10017,,,,,Q,2023,,Y,,
65970,"Sunlight Road Solar, LLC",575 Fifth Avenue,New York,NY,10017,,,,,Q,2023,,Y,,
65988,"Township Road 215 Solar Project 2021, LLC",200 Harborside Dr (Suite 200),Schenectady,NY,12305,,,,,Q,2023,,Y,Y,Y
65990,Belmar Gateway Solar LLC,200 Harborside Dr (Suite 200),Schenectady,NY,12305,,,,,Q,2023,,Y,Y,Y
65991,"THD NJ Riverview Main Distribution Center Solar Project 2020, LLC",200 Harborside Dr (Suite 200),Schenectady,NY,12305,,,,,Q,2023,,Y,Y,Y
65998,"Flint Mine Solar, LLC",575 Fifth Ave,New York,NY,10017,,,,,Q,2023,,Y,,
66014,"DG Kendall, LLC",1771 W Kendall Rd.,Kendall,NY,14476,,,,,Q,2023,,Y,Y,Y
66039,"SC Oregon 2 Lessor Parent, LLC","1330 Avenue of the Americas, F",New York,NY,10019,,,,,Q,2023,,,,Y
66040,"Milford Solar 1, LLC","1330 Avenue of the Americas, F",New York,NY,10019,,,,,Q,2023,,,,Y
66041,"USF Essex Lessor, LLC","1330 Avenue of the Americas, F",New York,NY,10019,,,,,Q,2023,,,,Y
66042,"USF Surry, LLC","1330 Avenue of the Americas, F",New York,NY,10019,,,,,Q,2023,,,,Y
66056,Mohave Energy,"100 Park Avenue, 24th Floor",New York,NY,10017,,,,,Q,2023,,Y,Y,Y
66059,"Hornshadow Solar, LLC",575 Fifth Ave,New York,NY,10017,,,,,Q,2023,,Y,,
66061,BQ Energy Development,"400 Market Industrial Park, Su",Wappingers Falls,NY,12590,,,,,COM,2023,,Y,,
66070,"Hornshadow Solar II, LLC",575 Fith Ave,New York,NY,10017,,,,,Q,2023,,Y,,
66074,"Overlook Solar Partners, LLC",200 Liberty Street,New York,NY,10281,,,,,Q,2023,,Y,Y,
66098,Elevate Power Management LLC,"230 Park Ave, Suite 307",New York,NY,10167,,,,,Q,2023,,Y,Y,
