Utility ID,Utility Name,Plant Code,Plant Name,State,Boiler ID,Boiler Status,Type of Boiler,New Source Review,New Source Review Permit,New Source Review Month,New Source Review Year,Regulation Sulfur,Standard Sulfur Rate,Standard Sulfur Percent Scrubbed,Unit Sulfur,Period Sulfur,Compliance Year Sulfur,Sulfur Dioxide Control Existing Strategy 1,Sulfur Dioxide Control Existing Strategy 2,Sulfur Dioxide Control Existing Strategy 3,Sulfur Dioxide Control Proposed Strategy 1,Sulfur Dioxide Control Proposed Strategy 2,Sulfur Dioxide Control Proposed Strategy 3,Regulation Nitrogen,Standard Nitrogen Rate,Unit Nitrogen,Period Nitrogen,Compliance Year Nitrogen,Nitrogen Oxide Control Existing Strategy 1,Nitrogen Oxide Control Existing Strategy 2,Nitrogen Oxide Control Existing Strategy 3,Nitrogen Oxide Control Proposed Strategy 1,Nitrogen Oxide Control Proposed Strategy 2,Nitrogen Oxide Control Proposed Strategy 3,Regulation Particulate,Standard Particulate Rate,Unit Particulate,Period Particulate,Compliance Year Particulate,Regulation Mercury,Compliance Year Mercury,Mercury Control Existing Strategy 1,Mercury Control Existing Strategy 2,Mercury Control Existing Strategy 3,Mercury Control Proposed Strategy 1,Mercury Control Proposed Strategy 2,Mercury Control Proposed Strategy 3,Steam Plant Type
17543,South Carolina Public Service Authority,130.0,Cross,SC,3,OP,Da,Y,TV-0420-0030,1,2007,FD,0.13,0.95,DP,YR,2007,NC,,,NC,,,FD,0.08,NP,MO,2007,SR,,,SR,,,FD,0.015,PB,PS,2007,FD,2016,EK,SP,OT,,,,1.0
17543,South Carolina Public Service Authority,130.0,Cross,SC,4,OP,Da,Y,TV-0420-0030,1,2007,FD,0.13,0.95,DP,YR,2008,NC,,,NC,,,FD,0.08,NP,YR,2008,SR,,,SR,,,FD,0.015,PB,PS,2008,FD,2016,EK,SP,OT,,,,1.0
21554,Seminole Electric Cooperative Inc,136.0,Seminole (FL),FL,1,OP,Da,Y,1070025-015-AV,1,2010,ST,0.25,0.9,DP,DA,1983,NC,,,NC,,,ST,0.07,NP,YR,1983,LN,SR,OV,LN,SR,OV,FD,0.03,PB,PS,1983,FD,1983,SP,EK,OT,SP,EK,OT,1.0
21554,Seminole Electric Cooperative Inc,136.0,Seminole (FL),FL,2,OP,Da,Y,1070025-015-AV,1,2010,ST,0.67,0.9,DP,DA,1984,NC,,,NC,,,ST,0.07,NP,YR,1984,LN,SR,OV,LN,SR,OV,FD,0.03,PB,PS,1984,FD,1984,SP,EK,OT,SP,EK,OT,1.0
21554,Seminole Electric Cooperative Inc,136.0,Seminole (FL),FL,3,CN,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,1.0
16572,Salt River Project,141.0,Agua Fria,AZ,1,OP,N,N,, , ,LO,0.0015, ,SU,NV,1970,ND,,,ND,,,LO, ,,,1970,ND,,,ND,,,LO, ,,,1970,, ,,,,,,,1.0
16572,Salt River Project,141.0,Agua Fria,AZ,2,OP,N,N,, , ,LO,0.0015, ,SU,NV,1970,ND,,,ND,,,LO, ,,,1970,ND,,,ND,,,LO, ,,,1970,, ,,,,,,,1.0
16572,Salt River Project,141.0,Agua Fria,AZ,3,OP,N,N,, , ,LO,0.0015, ,SU,NV,1970,ND,,,ND,,,LO, ,,,1970,ND,,,ND,,,LO, ,,,1970,, ,,,,,,,1.0
16572,Salt River Project,143.0,Crosscut,AZ,1,RE,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,4.0
16572,Salt River Project,143.0,Crosscut,AZ,2,RE,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,4.0
16572,Salt River Project,143.0,Crosscut,AZ,3,RE,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,4.0
16572,Salt River Project,143.0,Crosscut,AZ,4,RE,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,4.0
