Utility ID,Utility Name,Plant Code,Plant Name,Boiler ID,Generator ID
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB7,GEN3
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB5,GEN3
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB2,GEN4
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB4,GEN4
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB8,GEN4
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB5,GEN4
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB1,GEN4
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB6,GEN4
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB3,GEN4
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB7,GEN4
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB9,GEN4
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB6,GEN5
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB9,GEN5
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB2,GEN5
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB7,GEN5
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB1,GEN5
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB4,GEN5
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB5,GEN5
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB3,GEN5
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB8,GEN5
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB8,GEN6
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB2,GEN6
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB9,GEN6
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB5,GEN6
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB4,GEN6
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB3,GEN6
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB7,GEN6
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB1,GEN6
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB6,GEN6
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB6,GEN7
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB2,GEN7
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB7,GEN7
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB1,GEN7
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB9,GEN7
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB4,GEN7
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB3,GEN7
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB8,GEN7
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB5,GEN7
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB2,GEN8
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB3,GEN8
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB7,GEN8
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB1,GEN8
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB8,GEN8
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB4,GEN8
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB9,GEN8
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB6,GEN8
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB5,GEN8
772,Archer Daniels Midland Co,57046,Archer Daniels Midland Columbus,CFB1,GEN1
