Utility ID,Utility Name,Plant Code,Plant Name,State,Generator ID,Status,Owner Name,Owner Street Address,Owner City,Owner State,Owner Zip,Ownership ID,Percent Owned
54842,WM Renewable Energy LLC,61012,Mill Seat Renewable Energy Facility,NY,GEN3,OP,Monroe County (NY),"50 West Main Street, Suite 7100",Rochester,NY,14614,60791,1.0
54842,WM Renewable Energy LLC,61012,Mill Seat Renewable Energy Facility,NY,GEN4,OP,Monroe County (NY),"50 West Main Street, Suite 7100",Rochester,NY,14614,60791,1.0
54842,WM Renewable Energy LLC,61012,Mill Seat Renewable Energy Facility,NY,GEN5,OP,Monroe County (NY),"50 West Main Street, Suite 7100",Rochester,NY,14614,60791,1.0
54842,WM Renewable Energy LLC,61012,Mill Seat Renewable Energy Facility,NY,GEN6,OP,Monroe County (NY),"50 West Main Street, Suite 7100",Rochester,NY,14614,60791,1.0
54842,WM Renewable Energy LLC,61012,Mill Seat Renewable Energy Facility,NY,GEN7,OP,Monroe County (NY),"50 West Main Street, Suite 7100",Rochester,NY,14614,60791,1.0
54842,WM Renewable Energy LLC,61012,Mill Seat Renewable Energy Facility,NY,GEN8,OP,Monroe County (NY),"50 West Main Street, Suite 7100",Rochester,NY,14614,60791,1.0
9234,Indiana Municipal Power Agency,61053,Greenfield Solar Park,IN,SGREE,OP,"Greenfield Solar Project, LLC",701 West Kimberly Ave. Suite 220,placentia,CA,92870,64040,1.0
9234,Indiana Municipal Power Agency,61054,IMPA Anderson Solar Park 2,IN,SAND2,OP,"Anderson North Solar Project, LLC",701 West Kimberly Ave. Suite 220,Placentia,CA,92870,64014,0.541
9234,Indiana Municipal Power Agency,61054,IMPA Anderson Solar Park 2,IN,SAND2,OP,"Anderson South Solar Project, LLC",701 West Kimberly Ave. Suite 220,Placentia,CA,92870,64015,0.459
62759,National Grid Renewables,61058,Kramer Solar CSG,MN,0000B,OP,"Nordic Solar, LLC","7650 Edinborough Way, Suite 725",Edina,MN,55435,61020,1.0
62759,National Grid Renewables,61058,Kramer Solar CSG,MN,KRAM2,OP,"Nordic Solar, LLC","7650 Edinborough Way, Suite 725",Edina,MN,55435,61020,1.0
62759,National Grid Renewables,61058,Kramer Solar CSG,MN,KRAM3,OP,"Nordic Solar, LLC","7650 Edinborough Way, Suite 725",Edina,MN,55435,61020,1.0
62033,NRG MN Community LLC,61059,Novel OYA of Osakis CSG,MN,0000G,OP,Novel-OYA Two LLP,11 Kodiak Crescent #C,Toronto,ON,M3J3E5,60902,1.0
62033,NRG MN Community LLC,61060,Novel - OYA of Mapleton CSG,MN,0000I,OP,Novel-OYA Six LLP,11 Kodiak Crescent #C,Toronto,ON,M3J3E5,60903,1.0
56990,NJR Clean Energy Ventures Corporation,61073,Pemberton Road I,NJ,PEMB1,OP,NJR Clean Energy Ventures III Corporation,1415 Wyckoff Road,Wall,NJ,7719,64680,1.0
56990,NJR Clean Energy Ventures Corporation,61074,Pemberton Road II,NJ,PEMB2,OP,NJR Clean Energy Ventures III Corporation,1415 Wyckoff Road,Wall,NJ,7719,64680,1.0
64778,"Strata Manager, LLC",61085,Stone Solar,NC,1,OP,"Stone Solar, LLC","800 Taylor St, Suite 200",Durham,NC,27701,60699,1.0
64778,"Strata Manager, LLC",61086,Tripple State Farm,NC,1,OP,"Tripple State Farm, LLC","800 Taylor St, Suite 200",Durham,NC,27701,60700,1.0
64778,"Strata Manager, LLC",61087,Wadesboro Farm 1,NC,1,OP,"Wadesboro Farm 1, LLC","800 Taylor St, Suite 200",Durham,NC,27701,60701,1.0
64778,"Strata Manager, LLC",61088,Delco Farm,NC,1,OP,"Delco Farm, LLC","800 Taylor St, Suite 200",Durham,NC,27701,60702,1.0
64778,"Strata Manager, LLC",61089,Fisher Solar Farm - NC,NC,1,OP,"Fisher Solar Farm, LLC","800 Taylor St, Suite 200",Durham,NC,27701,60703,1.0
64778,"Strata Manager, LLC",61090,Kinston Davis Farm,NC,1,OP,"Kinston Davis Farm, LLC","800 Taylor St, Suite 200",Durham,NC,27701,60704,1.0
