Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet),FAA Obstacle Number
55836,EXC Wind 3,56559,EXC Wind 3 LLC,TX,Hansford,JDW3,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,10.0,10.0,10.0,2,2006,Suzlon,S-64,19.1,2,241.1,48-015600
55837,EXC Wind 2,56558,EXC Wind 2 LLC,TX,Hansford,JDW2,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,10.0,10.0,10.0,2,2006,Suzlon,S-64,19.1,2,241.1,48-015593
55838,EXC Wind 1,56557,EXC Wind 1 LLC,TX,Hansford,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,10.0,10.0,10.0,2,2006,Suzlon,S-64,19.1,2,241.1,48-015586
55847,Snyder Wind Farm LLC,56602,Snyder Wind Farm,TX,Scurry,SNY1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,63.0,63.0,63.0,12,2007,Vestas,V90,24,2,328,
55862,Logan Wind Energy LLC,56613,Logan Wind Energy,CO,Logan,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,201.0,201.0,201.0,10,2007,GE,1.5 SLE,19,2,262.5,08-020042
55866,Old Trail Wind Farm LLC,56614,Old Trail Wind Farm,IL,McLean,2,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,198.0,198.0,198.0,12,2007,Vestas,V82 1.65MW,19,2,262,17-020165
55868,Noble Wind Operations LLC,56618,Noble Clinton Windpark LLC,NY,Clinton,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,100.5,100.5,100.5,5,2008,GE,1.5 SLE,19,2,262,2006-AEA-1811-OE
55868,Noble Wind Operations LLC,56619,Noble Ellenburg Windpark LLC,NY,Clinton,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,81.0,81.0,81.0,5,2008,GE,1.5 SLE,19,2,262,2006-AEA-1654-OE
55868,Noble Wind Operations LLC,56620,Noble Bliss Windpark LLC,NY,Wyoming,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,100.5,100.5,100.5,5,2008,GE,1.5 SLE,19,2,262,2006-AEA-879-OE
55868,Noble Wind Operations LLC,56901,Noble Altona Windpark LLC,NY,Clinton,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,97.5,97.5,97.5,4,2009,GE,1.5 SLE,19,2,262,2006-AEA-2023-OE
55868,Noble Wind Operations LLC,56902,Noble Wethersfield Windpark LLC,NY,Wyoming,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,126.0,126.0,126.0,4,2009,GE,1.5 SLE,19,2,262,2007-AEA-1641-OE
55868,Noble Wind Operations LLC,56904,Noble Chateaugay Windpark LLC,NY,Franklin,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,106.5,106.5,106.5,4,2009,GE,1.5 SLE,19,2,262,2007-AEA-1296-OE
55868,Noble Wind Operations LLC,56905,Noble Great Plains Windpark LLC,TX,Hansford,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,114.0,114.0,114.0,1,2009,GE,1.5 SLE,19,2,262,2008-ASW-1785-OE
55873,Harvest I,56635,Harvest Windfarm LLC,MI,Huron,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,52.8,52.8,52.8,1,2008,Vestas,V-82,15.6,2,262.5,26-003378
55880,Telocaset Wind Power Partners,56623,Elkhorn Valley Wind Farm,OR,UNION,EH1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,100.7,100.7,100.7,12,2007,Vestas,V82,17,2,240,2006ANM402A-0E
55886,Smoky Hills Wind Farm I LLC,56488,Smoky Hills Wind Project Phase I,KS,Lincoln,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,100.8,100.8,100.8,1,2008,Vestas,V80,24,2,328,
55890,Bennett Creek Windfarm LLC,56637,Bennett Creek Windfarm LLC,ID,Elmore,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,21.0,21.0,21.0,7,2008,Suzlon,S-88,14.7,2,259.2,16-020002
55891,Hot Springs,56636,Hot Springs Windfarm LLC,ID,Elmore,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,21.0,21.0,21.0,5,2008,Suzlon,S-88,14.7,2,259.2,16-020012
55901,Osceola Windpower LLC,56645,Osceola Windpower LLC,IA,Osceola,CL25,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,100.0,100.0,100.0,7,2008,Clipper,Liberty C96 2.5 MW,19,2,262.5,19-020069
55907,White Creek Wind 1 LLC,56487,White Creek Wind Farm,WA,Klickitat,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,204.0,204.0,204.0,11,2007,Siemens,2.3 MW Mk II 93 vs,17.6,2,260,53-001650
55918,Acciona Wind Energy USA LLC,56665,Dempsey Ridge Wind Farm,OK,Roger Mills,DR,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,132.0,132.0,132.0,5,2012,Gamesa,G90-2MW,24.6,2,255.9,40-021050
55918,Acciona Wind Energy USA LLC,56669,Tatanka Wind Power LLC,ND,Dickey,TW1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,180.0,180.0,180.0,1,2008,Acciona,AW77/1500 IEC IIA T,18.8,2,262.5,38-022671
55918,Acciona Wind Energy USA LLC,56670,Velva Windfarm LLC,ND,McHenry,VW1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,11.9,11.9,11.9,12,2005,Vestas,V47 - 660 kW 60 Hz,22.4,2,215,38-001011
